image_name,BoxesString
003203_1.png,6 103 17 114
008862_1.png,29 27 42 41
009153_1.png,41 105 53 116
006011_1.png,24 21 34 32
007492_1.png,52 30 68 45
009740_1.png,107 89 118 99
009603_1.png,75 41 97 62
006337_1.png,17 98 31 112
009554_1.png,59 110 74 126
000037_1.png,109 34 127 51
003514_1.png,113 92 123 103
008055_1.png,38 68 49 78
000993_1.png,69 70 80 80
009503_1.png,6 52 19 66
008382_1.png,37 97 53 113
007872_1.png,97 88 107 99
004486_1.png,47 58 57 68
009483_1.png,3 71 17 87
006630_1.png,74 65 84 75
009470_1.png,71 51 82 62
006618_1.png,25 109 39 124
003217_1.png,109 3 127 17
004599_1.png,110 58 126 78
009858_1.png,81 42 98 59
001491_1.png,92 67 107 82
003983_1.png,111 87 125 102
006975_1.png,46 65 61 81
005573_1.png,90 3 106 23
006860_1.png,6 8 22 25
007818_1.png,89 37 102 49
009785_1.png,34 29 46 41
001425_1.png,5 38 15 48
001104_1.png,75 39 86 50
002409_1.png,41 44 54 56
008723_1.png,38 3 52 17
001196_1.png,81 1 99 19
007891_1.png,4 22 21 43
009972_1.png,66 42 82 52;115 61 125 71;96 100 106 112
003567_1.png,38 16 53 35
008084_1.png,12 55 26 69
006347_1.png,40 4 52 16
008167_1.png,71 109 90 127
008301_1.png,26 58 38 70
000436_1.png,48 70 60 82
009783_1.png,16 90 32 106
005236_1.png,104 20 117 34
005801_1.png,5 80 15 91
003931_1.png,111 54 125 65
008118_1.png,13 44 26 55
009882_1.png,41 18 57 32
003440_1.png,99 83 111 96
004855_1.png,90 3 103 17
008877_1.png,65 29 76 40
002119_1.png,44 41 57 55
009581_1.png,25 112 37 124
000172_1.png,84 73 95 84
005929_1.png,37 37 50 52
001748_1.png,100 40 115 57
005216_1.png,32 82 44 94
006829_1.png,101 92 112 103
000238_1.png,104 24 117 35
004154_1.png,66 113 77 123
000806_1.png,95 110 109 126
001509_1.png,22 103 35 114
005039_1.png,66 87 78 98
005413_1.png,43 89 54 100
008737_1.png,100 41 114 55
004851_1.png,4 86 16 99
004569_1.png,59 62 71 73
005306_1.png,5 108 15 118
002778_1.png,55 111 70 125
009766_1.png,49 89 63 106
006268_1.png,35 0 56 21
000185_1.png,70 89 83 102
003650_1.png,73 3 87 17
004325_1.png,3 35 17 48
004642_1.png,60 74 72 88
004719_1.png,37 78 53 94
004897_1.png,6 31 25 49
006067_1.png,108 43 120 54
004768_1.png,70 4 82 16
003021_1.png,13 112 25 124
006736_1.png,106 91 121 109
008318_1.png,34 27 49 41
000629_1.png,78 66 88 76
004072_1.png,107 0 127 21
006580_1.png,88 99 102 112
006082_1.png,30 59 44 74
007243_1.png,35 87 54 105
004197_1.png,16 59 32 75
005344_1.png,86 25 101 40
005906_1.png,107 81 128 97
005225_1.png,32 96 43 107
001448_1.png,112 45 124 59
001694_1.png,113 5 123 15
009431_1.png,70 102 88 119
009735_1.png,68 67 78 77
006306_1.png,113 30 123 41
008713_1.png,31 58 45 72
002236_1.png,91 92 102 103
001382_1.png,23 67 33 79
002499_1.png,111 95 125 109
006098_1.png,58 58 70 69
006161_1.png,5 16 15 26
009094_1.png,2 39 18 56
008499_1.png,54 113 65 124
000390_1.png,69 61 82 73
004385_1.png,52 111 68 125
008113_1.png,87 4 100 16
003450_1.png,4 99 16 114
005481_1.png,53 55 64 66
007569_1.png,9 54 29 73
006886_1.png,79 37 91 50
009816_1.png,39 51 50 63
000123_1.png,3 69 21 85
007747_1.png,39 110 54 126
006201_1.png,9 29 20 40
003067_1.png,59 40 75 53
000316_1.png,61 48 72 60
007478_1.png,113 64 123 76
000974_1.png,39 5 50 17
007572_1.png,90 58 100 68
005196_1.png,2 1 18 20
008616_1.png,43 98 54 110
006585_1.png,86 42 106 61
004873_1.png,41 43 53 56
003204_1.png,0 82 21 102
005197_1.png,112 86 124 100
009360_1.png,109 89 119 99
006759_1.png,89 11 101 23
007239_1.png,99 80 111 91
006301_1.png,78 52 89 64
003136_1.png,51 27 68 45
005687_1.png,44 17 59 32
007009_1.png,53 48 65 61
003724_1.png,107 96 117 107
007366_1.png,27 39 46 55
002560_1.png,103 6 121 22
007779_1.png,52 64 63 76
003839_1.png,24 112 34 124
002233_1.png,19 26 34 39
000902_1.png,100 39 118 57
006042_1.png,113 5 123 15
001322_1.png,102 108 117 124
004443_1.png,84 21 96 35
005226_1.png,36 104 53 121
009943_1.png,21 14 35 30;11 32 25 42;7 53 17 63
006590_1.png,54 74 70 91
000223_1.png,40 44 51 55
002144_1.png,36 92 46 103
008350_1.png,42 84 55 96
000197_1.png,3 111 17 125
000711_1.png,6 87 18 98
006144_1.png,66 29 76 40
007897_1.png,1 17 19 35
005172_1.png,76 1 94 19
000148_1.png,4 37 16 49
009087_1.png,82 109 95 121
000126_1.png,58 10 77 24
004461_1.png,2 92 18 108
006707_1.png,91 110 104 122
001023_1.png,21 28 37 45
009750_1.png,103 86 117 99
006462_1.png,92 34 110 53
009083_1.png,97 106 115 122
003851_1.png,5 84 20 96
004652_1.png,3 110 21 126;2 111 14 123
008976_1.png,48 103 64 121
004920_1.png,18 52 29 64
007470_1.png,36 41 52 57
009164_1.png,111 42 125 56
000563_1.png,93 48 108 67
003622_1.png,92 110 107 126
005232_1.png,85 103 102 118
006766_1.png,4 87 16 100
001871_1.png,41 52 53 65
004064_1.png,2 50 18 71
001884_1.png,79 106 92 120
004859_1.png,78 59 92 73
007194_1.png,47 55 66 73
008568_1.png,72 75 87 94
005710_1.png,97 29 111 46
001175_1.png,58 2 74 18
006323_1.png,17 83 28 93
006068_1.png,22 23 35 36
003987_1.png,50 98 62 111
001399_1.png,37 46 55 60
004694_1.png,51 90 61 100
001545_1.png,1 37 19 50
005639_1.png,56 87 77 103
004003_1.png,59 104 73 121
007691_1.png,79 112 92 124
000523_1.png,28 63 48 81
009260_1.png,45 1 62 19
000276_1.png,81 31 99 48
007501_1.png,100 30 111 41
005985_1.png,56 3 69 17
007611_1.png,24 111 38 125
003094_1.png,4 5 16 15
001195_1.png,107 53 118 65
002596_1.png,54 50 67 65
000975_1.png,69 12 87 31
005073_1.png,4 42 16 53
009308_1.png,36 18 48 30
006167_1.png,37 74 55 91
007160_1.png,113 111 123 123
008200_1.png,85 81 100 97
005420_1.png,77 2 93 18
008941_1.png,42 39 54 52
007025_1.png,93 95 110 111
002293_1.png,5 21 18 34
008649_1.png,28 104 41 116
003934_1.png,95 1 114 19
004116_1.png,60 8 78 24
005641_1.png,44 14 57 27
000763_1.png,22 108 32 118
006849_1.png,41 112 54 124
007777_1.png,99 4 116 20
006603_1.png,5 24 15 34
004593_1.png,90 88 108 105
001521_1.png,108 113 119 123
003763_1.png,13 111 29 125
004045_1.png,87 71 98 85
007317_1.png,111 10 125 25
002866_1.png,71 20 82 31
007861_1.png,85 112 97 124
007145_1.png,38 62 54 77
001966_1.png,21 68 31 78
001559_1.png,39 2 56 18
006299_1.png,25 103 35 113
009946_1.png,118 3 128 13;101 33 115 47;18 52 28 62
001513_1.png,58 106 68 117
004722_1.png,30 42 42 53
004296_1.png,31 29 44 43
007900_1.png,9 32 21 45
000560_1.png,86 40 105 57
001584_1.png,111 91 125 106
000564_1.png,3 4 17 21
001954_1.png,56 25 72 45
005726_1.png,40 57 52 68
009520_1.png,35 31 46 41
000890_1.png,53 21 64 31
001802_1.png,77 1 95 20
007839_1.png,24 37 36 49
008373_1.png,111 30 121 40
003190_1.png,18 44 32 56
001164_1.png,11 101 22 112
000712_1.png,104 55 121 72
000998_1.png,73 14 85 28
003591_1.png,2 70 18 85
003556_1.png,94 109 111 127
005518_1.png,104 110 118 126
002092_1.png,5 4 17 19
004645_1.png,65 95 77 106
007244_1.png,29 35 44 51
007103_1.png,43 13 56 31
004099_1.png,93 44 108 59
009254_1.png,80 5 91 15
009855_1.png,37 62 53 79
002492_1.png,71 8 90 27
001431_1.png,95 54 110 68
005061_1.png,103 31 124 47
005264_1.png,111 4 125 16
007980_1.png,60 99 72 111
001074_1.png,100 90 116 105
000402_1.png,53 2 72 18
002600_1.png,111 23 125 38
